Kelas,Semester,Bulan,Minggu_ke,Tanggal,Kode,Keterangan
XI PPLG A,Ganjil,Juli,1,13-17,KK,
XI PPLG A,Ganjil,Juli,2,20-24,MPU,
XI PPLG A,Ganjil,Juli,3,27-31,KK,
XI PPLG A,Ganjil,Agustus,4,03-07,MPU,
XI PPLG A,Ganjil,Agustus,5,10-14,KK,
XI PPLG A,Ganjil,Agustus,6,17-21,MPU,
XI PPLG A,Ganjil,Agustus,7,24-28,KK,
XI PPLG A,Ganjil,Agustus/September,8,31-04,MPU,
XI PPLG A,Ganjil,September,9,07-11,KK,
XI PPLG A,Ganjil,September,10,14-18,MPU,
XI PPLG A,Ganjil,September,11,21-25,KK,
XI PPLG A,Ganjil,September/Oktober,12,28-02,MPU,
XI PPLG A,Ganjil,Oktober,13,05-09,KK,
XI PPLG A,Ganjil,Oktober,14,12-16,MPU,
XI PPLG A,Ganjil,Oktober,15,19-23,KK,
XI PPLG A,Ganjil,Oktober,16,26-30,MPU,
XI PPLG A,Ganjil,Oktober/November,17,02-06,KK,
XI PPLG A,Ganjil,November,18,09-13,MPU,
XI PPLG A,Ganjil,November,19,16-20,KK,
XI PPLG A,Ganjil,November/Desember,20,23-27,ASAS,Asesmen Sumatif Akhir Semester
XI PPLG A,Ganjil,Desember,21,30-04,ASAS,Asesmen Sumatif Akhir Semester
XI PPLG A,Ganjil,Desember,22,07-11,LIBUR,Libur akhir semester (perkiraan)
XI PPLG A,Genap,Januari,1,04-08,MPU,
XI PPLG A,Genap,Januari,2,11-15,KK,
XI PPLG A,Genap,Januari,3,18-22,MPU,
XI PPLG A,Genap,Januari,4,25-29,KK,
XI PPLG A,Genap,Februari,5,01-05,LBID,Libur Idulfitri/Bersama
XI PPLG A,Genap,Februari,6,08-12,LBID,Libur Idulfitri/Bersama
XI PPLG A,Genap,Februari,7,15-19,KK,
XI PPLG A,Genap,Februari,8,22-26,MPU,
XI PPLG A,Genap,Maret,9,01-05,KK,
XI PPLG A,Genap,Maret,10,08-12,MPU,
XI PPLG A,Genap,Maret,11,15-19,KK,
XI PPLG A,Genap,Maret,12,22-26,MPU,
XI PPLG A,Genap,Maret/April,13,29-02,KK,
XI PPLG A,Genap,April,14,05-09,MPU,
XI PPLG A,Genap,April,15,12-16,KK,
XI PPLG A,Genap,April,16,19-23,MPU,
XI PPLG A,Genap,April/Mei,17,26-30,KK,
XI PPLG A,Genap,Mei,18,03-07,MPU,
XI PPLG A,Genap,Mei,19,10-14,KK,
XI PPLG A,Genap,Mei,20,17-21,MPU,
XI PPLG A,Genap,Mei/Juni,21,24-28,ASAT,Asesmen Sumatif Akhir Tahun
XI PPLG A,Genap,Juni,22,31-04,ASAT,Asesmen Sumatif Akhir Tahun
XI PPLG B,Ganjil,Juli,1,13-17,MPU,
XI PPLG B,Ganjil,Juli,2,20-24,KK,
XI PPLG B,Ganjil,Juli,3,27-31,MPU,
XI PPLG B,Ganjil,Agustus,4,03-07,KK,
XI PPLG B,Ganjil,Agustus,5,10-14,MPU,
XI PPLG B,Ganjil,Agustus,6,17-21,KK,
XI PPLG B,Ganjil,Agustus,7,24-28,MPU,
