Kelas,Hari,Jam Ke,Waktu,Mata Pelajaran,Status
X PPLG A,Senin,1,07.00-07.45,DPK,Terjadwal
X PPLG A,Senin,2,07.45-08.30,DPK,Terjadwal
X PPLG A,Senin,3,08.30-09.15,DPK,Terjadwal
X PPLG A,Senin,4,09.15-10.00,DPK,Terjadwal
X PPLG A,Senin,5,10.15-11.00,DPK,Terjadwal
X PPLG A,Senin,6,11.00-11.45,DPK,Terjadwal
X PPLG A,Senin,7,12.15-13.00,DPK,Terjadwal
X PPLG A,Senin,8,13.00-13.45,DPK,Terjadwal
X PPLG A,Senin,9,13.45-14.30,DPK,Terjadwal
X PPLG A,Senin,10,14.30-15.15,DPK,Terjadwal
X PPLG A,Senin,11,15.30-16.15,DPK,Terjadwal
X PPLG A,Senin,12,16.15-17.00,DPK,Terjadwal
X PPLG A,Selasa,1,07.00-07.45,IPAS,Terjadwal
X PPLG A,Selasa,2,07.45-08.30,IPAS,Terjadwal
X PPLG A,Selasa,3,08.30-09.15,IPAS,Terjadwal
X PPLG A,Selasa,4,09.15-10.00,PP,Terjadwal
X PPLG A,Selasa,5,10.15-11.00,PP,Terjadwal
X PPLG A,Selasa,6,11.00-11.45,MAT,Terjadwal
X PPLG A,Selasa,7,12.15-13.00,MAT,Terjadwal
X PPLG A,Selasa,8,13.00-13.45,SB,Terjadwal
X PPLG A,Selasa,9,13.45-14.30,SB,Terjadwal
X PPLG A,Selasa,10,14.30-15.15,BK,Terjadwal
X PPLG A,Selasa,11,15.30-16.15,BK,Terjadwal
X PPLG A,Selasa,12,16.15-17.00,KOSONG,Kosong
X PPLG A,Rabu,1,07.00-07.45,BING,Terjadwal
X PPLG A,Rabu,2,07.45-08.30,BING,Terjadwal
X PPLG A,Rabu,3,08.30-09.15,PJOK,Terjadwal
X PPLG A,Rabu,4,09.15-10.00,PJOK,Terjadwal
X PPLG A,Rabu,5,10.15-11.00,PJOK,Terjadwal
X PPLG A,Rabu,6,11.00-11.45,PABP,Terjadwal
X PPLG A,Rabu,7,12.15-13.00,PABP,Terjadwal
X PPLG A,Rabu,8,13.00-13.45,PABP,Terjadwal
X PPLG A,Rabu,9,13.45-14.30,BINDO,Terjadwal
X PPLG A,Rabu,10,14.30-15.15,BINDO,Terjadwal
X PPLG A,Rabu,11,15.30-16.15,KOSONG,Kosong
X PPLG A,Rabu,12,16.15-17.00,KOSONG,Kosong
X PPLG A,Kamis,1,07.00-07.45,BING,Terjadwal
X PPLG A,Kamis,2,07.45-08.30,BING,Terjadwal
X PPLG A,Kamis,3,08.30-09.15,MAT,Terjadwal
X PPLG A,Kamis,4,09.15-10.00,MAT,Terjadwal
X PPLG A,Kamis,5,10.15-11.00,BINDO,Terjadwal
X PPLG A,Kamis,6,11.00-11.45,BINDO,Terjadwal
X PPLG A,Kamis,7,12.15-13.00,KKA,Terjadwal
X PPLG A,Kamis,8,13.00-13.45,KKA,Terjadwal
X PPLG A,Kamis,9,13.45-14.30,BJW,Terjadwal
X PPLG A,Kamis,10,14.30-15.15,BJW,Terjadwal
X PPLG A,Kamis,11,15.30-16.15,KOSONG,Kosong
X PPLG A,Kamis,12,16.15-17.00,KOSONG,Kosong
X PPLG A,Jumat,1,08.15-08.45,IPAS,Terjadwal
X PPLG A,Jumat,2,08.45-09.15,IPAS,Terjadwal
X PPLG A,Jumat,3,09.15-09.45,IPAS,Terjadwal
X PPLG A,Jumat,4,10.00-10.30,INF,Terjadwal
X PPLG A,Jumat,5,10.30-11.00,INF,Terjadwal
X PPLG A,Jumat,6,11.00-11.30,INF,Terjadwal
X PPLG A,Jumat,7,12.30-13.00,INF,Terjadwal
X PPLG A,Jumat,8,13.00-13.30,SEJ,Terjadwal
X PPLG A,Jumat,9,13.30-14.00,SEJ,Terjadwal
X PPLG A,Jumat,10,14.00-14.30,KOSONG,Kosong
X PPLG A,Jumat,11,14.45-15.15,KOSONG,Kosong
X PPLG A,Jumat,12,15.15-15.45,KOSONG,Kosong
X PPLG B,Senin,1,07.00-07.45,INF,Terjadwal
X PPLG B,Senin,2,07.45-08.30,INF,Terjadwal
X PPLG B,Senin,3,08.30-09.15,INF,Terjadwal
X PPLG B,Senin,4,09.15-10.00,INF,Terjadwal
X PPLG B,Senin,5,10.15-11.00,IPAS,Terjadwal
X PPLG B,Senin,6,11.00-11.45,IPAS,Terjadwal
X PPLG B,Senin,7,12.15-13.00,IPAS,Terjadwal
X PPLG B,Senin,8,13.00-13.45,SB,Terjadwal
X PPLG B,Senin,9,13.45-14.30,SB,Terjadwal
X PPLG B,Senin,10,14.30-15.15,KOSONG,Kosong
X PPLG B,Senin,11,15.30-16.15,KOSONG,Kosong
X PPLG B,Senin,12,16.15-17.00,KOSONG,Kosong
X PPLG B,Selasa,1,07.00-07.45,DPK,Terjadwal
X PPLG B,Selasa,2,07.45-08.30,DPK,Terjadwal
X PPLG B,Selasa,3,08.30-09.15,DPK,Terjadwal
X PPLG B,Selasa,4,09.15-10.00,DPK,Terjadwal
X PPLG B,Selasa,5,10.15-11.00,DPK,Terjadwal
X PPLG B,Selasa,6,11.00-11.45,DPK,Terjadwal
X PPLG B,Selasa,7,12.15-13.00,DPK,Terjadwal
X PPLG B,Selasa,8,13.00-13.45,DPK,Terjadwal
X PPLG B,Selasa,9,13.45-14.30,DPK,Terjadwal
X PPLG B,Selasa,10,14.30-15.15,DPK,Terjadwal
X PPLG B,Selasa,11,15.30-16.15,DPK,Terjadwal
X PPLG B,Selasa,12,16.15-17.00,DPK,Terjadwal
X PPLG B,Rabu,1,07.00-07.45,PP,Terjadwal
X PPLG B,Rabu,2,07.45-08.30,PP,Terjadwal
X PPLG B,Rabu,3,08.30-09.15,PABP,Terjadwal
X PPLG B,Rabu,4,09.15-10.00,PABP,Terjadwal
X PPLG B,Rabu,5,10.15-11.00,PABP,Terjadwal
X PPLG B,Rabu,6,11.00-11.45,BINDO,Terjadwal
X PPLG B,Rabu,7,12.15-13.00,BINDO,Terjadwal
X PPLG B,Rabu,8,13.00-13.45,IPAS,Terjadwal
X PPLG B,Rabu,9,13.45-14.30,IPAS,Terjadwal
X PPLG B,Rabu,10,14.30-15.15,IPAS,Terjadwal
X PPLG B,Rabu,11,15.30-16.15,KOSONG,Kosong
X PPLG B,Rabu,12,16.15-17.00,KOSONG,Kosong
X PPLG B,Kamis,1,07.00-07.45,MAT,Terjadwal
X PPLG B,Kamis,2,07.45-08.30,MAT,Terjadwal
X PPLG B,Kamis,3,08.30-09.15,PJOK,Terjadwal
X PPLG B,Kamis,4,09.15-10.00,PJOK,Terjadwal
X PPLG B,Kamis,5,10.15-11.00,PJOK,Terjadwal
X PPLG B,Kamis,6,11.00-11.45,BK,Terjadwal
X PPLG B,Kamis,7,12.15-13.00,BK,Terjadwal
X PPLG B,Kamis,8,13.00-13.45,BING,Terjadwal
X PPLG B,Kamis,9,13.45-14.30,BING,Terjadwal
X PPLG B,Kamis,10,14.30-15.15,KKA,Terjadwal
X PPLG B,Kamis,11,15.30-16.15,KKA,Terjadwal
X PPLG B,Kamis,12,16.15-17.00,KOSONG,Kosong
X PPLG B,Jumat,1,08.15-08.45,MAT,Terjadwal
X PPLG B,Jumat,2,08.45-09.15,MAT,Terjadwal
X PPLG B,Jumat,3,09.15-09.45,BING,Terjadwal
X PPLG B,Jumat,4,10.00-10.30,BING,Terjadwal
X PPLG B,Jumat,5,10.30-11.00,SEJ,Terjadwal
X PPLG B,Jumat,6,11.00-11.30,SEJ,Terjadwal
X PPLG B,Jumat,7,12.30-13.00,BINDO,Terjadwal
X PPLG B,Jumat,8,13.00-13.30,BINDO,Terjadwal
X PPLG B,Jumat,9,13.30-14.00,BJW,Terjadwal
X PPLG B,Jumat,10,14.00-14.30,BJW,Terjadwal
X PPLG B,Jumat,11,14.45-15.15,KOSONG,Kosong
X PPLG B,Jumat,12,15.15-15.45,KOSONG,Kosong
XI PPLG A,Senin,1,07.00-07.45,PABP,Terjadwal
XI PPLG A,Senin,2,07.45-08.30,PABP,Terjadwal
XI PPLG A,Senin,3,08.30-09.15,BJW,Terjadwal
XI PPLG A,Senin,4,09.15-10.00,BJW,Terjadwal
XI PPLG A,Senin,5,10.15-11.00,BK,Terjadwal
XI PPLG A,Senin,6,11.00-11.45,BK,Terjadwal
XI PPLG A,Senin,7,12.15-13.00,BINDO,Terjadwal
XI PPLG A,Senin,8,13.00-13.45,BINDO,Terjadwal
XI PPLG A,Senin,9,13.45-14.30,KOSONG,Kosong
XI PPLG A,Senin,10,14.30-15.15,KOSONG,Kosong
XI PPLG A,Senin,11,15.30-16.15,KOSONG,Kosong
XI PPLG A,Senin,12,16.15-17.00,KOSONG,Kosong
XI PPLG A,Selasa,1,07.00-07.45,BINDO,Terjadwal
XI PPLG A,Selasa,2,07.45-08.30,BINDO,Terjadwal
XI PPLG A,Selasa,3,08.30-09.15,BING,Terjadwal
XI PPLG A,Selasa,4,09.15-10.00,BING,Terjadwal
XI PPLG A,Selasa,5,10.15-11.00,PP,Terjadwal
XI PPLG A,Selasa,6,11.00-11.45,PP,Terjadwal
XI PPLG A,Selasa,7,12.15-13.00,PABP,Terjadwal
XI PPLG A,Selasa,8,13.00-13.45,PABP,Terjadwal
XI PPLG A,Selasa,9,13.45-14.30,PJOK,Terjadwal
XI PPLG A,Selasa,10,14.30-15.15,PJOK,Terjadwal
XI PPLG A,Selasa,11,15.30-16.15,KOSONG,Kosong
XI PPLG A,Selasa,12,16.15-17.00,KOSONG,Kosong
XI PPLG A,Rabu,1,07.00-07.45,MAT,Terjadwal
XI PPLG A,Rabu,2,07.45-08.30,MAT,Terjadwal
XI PPLG A,Rabu,3,08.30-09.15,BING,Terjadwal
XI PPLG A,Rabu,4,09.15-10.00,BING,Terjadwal
XI PPLG A,Rabu,5,10.15-11.00,BINDO,Terjadwal
XI PPLG A,Rabu,6,11.00-11.45,BINDO,Terjadwal
XI PPLG A,Rabu,7,12.15-13.00,SEJ,Terjadwal
XI PPLG A,Rabu,8,13.00-13.45,SEJ,Terjadwal
XI PPLG A,Rabu,9,13.45-14.30,PABP,Terjadwal
XI PPLG A,Rabu,10,14.30-15.15,PABP,Terjadwal
XI PPLG A,Rabu,11,15.30-16.15,KOSONG,Kosong
XI PPLG A,Rabu,12,16.15-17.00,KOSONG,Kosong
XI PPLG A,Kamis,1,07.00-07.45,MAT,Terjadwal
XI PPLG A,Kamis,2,07.45-08.30,MAT,Terjadwal
XI PPLG A,Kamis,3,08.30-09.15,PJOK,Terjadwal
XI PPLG A,Kamis,4,09.15-10.00,PJOK,Terjadwal
XI PPLG A,Kamis,5,10.15-11.00,PP,Terjadwal
XI PPLG A,Kamis,6,11.00-11.45,PP,Terjadwal
XI PPLG A,Kamis,7,12.15-13.00,BING,Terjadwal
XI PPLG A,Kamis,8,13.00-13.45,BING,Terjadwal
XI PPLG A,Kamis,9,13.45-14.30,KOSONG,Kosong
XI PPLG A,Kamis,10,14.30-15.15,KOSONG,Kosong
XI PPLG A,Kamis,11,15.30-16.15,KOSONG,Kosong
XI PPLG A,Kamis,12,16.15-17.00,KOSONG,Kosong
XI PPLG A,Jumat,1,08.15-08.45,BJW,Terjadwal
XI PPLG A,Jumat,2,08.45-09.15,BJW,Terjadwal
XI PPLG A,Jumat,3,09.15-09.45,BING,Terjadwal
XI PPLG A,Jumat,4,10.00-10.30,BING,Terjadwal
XI PPLG A,Jumat,5,10.30-11.00,SEJ,Terjadwal
XI PPLG A,Jumat,6,11.00-11.30,SEJ,Terjadwal
XI PPLG A,Jumat,7,12.30-13.00,MAT,Terjadwal
XI PPLG A,Jumat,8,13.00-13.30,MAT,Terjadwal
XI PPLG A,Jumat,9,13.30-14.00,KOSONG,Kosong
XI PPLG A,Jumat,10,14.00-14.30,KOSONG,Kosong
XI PPLG A,Jumat,11,14.45-15.15,KOSONG,Kosong
XI PPLG A,Jumat,12,15.15-15.45,KOSONG,Kosong
XI PPLG B,Senin,1,07.00-07.45,PABP,Terjadwal
XI PPLG B,Senin,2,07.45-08.30,PABP,Terjadwal
XI PPLG B,Senin,3,08.30-09.15,BJW,Terjadwal
XI PPLG B,Senin,4,09.15-10.00,BJW,Terjadwal
XI PPLG B,Senin,5,10.15-11.00,BK,Terjadwal
XI PPLG B,Senin,6,11.00-11.45,BK,Terjadwal
XI PPLG B,Senin,7,12.15-13.00,BINDO,Terjadwal
XI PPLG B,Senin,8,13.00-13.45,BINDO,Terjadwal
XI PPLG B,Senin,9,13.45-14.30,KOSONG,Kosong
XI PPLG B,Senin,10,14.30-15.15,KOSONG,Kosong
XI PPLG B,Senin,11,15.30-16.15,KOSONG,Kosong
XI PPLG B,Senin,12,16.15-17.00,KOSONG,Kosong
XI PPLG B,Selasa,1,07.00-07.45,BINDO,Terjadwal
XI PPLG B,Selasa,2,07.45-08.30,BINDO,Terjadwal
XI PPLG B,Selasa,3,08.30-09.15,BING,Terjadwal
XI PPLG B,Selasa,4,09.15-10.00,BING,Terjadwal
XI PPLG B,Selasa,5,10.15-11.00,PP,Terjadwal
XI PPLG B,Selasa,6,11.00-11.45,PP,Terjadwal
XI PPLG B,Selasa,7,12.15-13.00,PABP,Terjadwal
XI PPLG B,Selasa,8,13.00-13.45,PABP,Terjadwal
XI PPLG B,Selasa,9,13.45-14.30,PJOK,Terjadwal
XI PPLG B,Selasa,10,14.30-15.15,PJOK,Terjadwal
XI PPLG B,Selasa,11,15.30-16.15,KOSONG,Kosong
XI PPLG B,Selasa,12,16.15-17.00,KOSONG,Kosong
XI PPLG B,Rabu,1,07.00-07.45,MAT,Terjadwal
XI PPLG B,Rabu,2,07.45-08.30,MAT,Terjadwal
XI PPLG B,Rabu,3,08.30-09.15,BING,Terjadwal
XI PPLG B,Rabu,4,09.15-10.00,BING,Terjadwal
XI PPLG B,Rabu,5,10.15-11.00,BINDO,Terjadwal
XI PPLG B,Rabu,6,11.00-11.45,BINDO,Terjadwal
XI PPLG B,Rabu,7,12.15-13.00,SEJ,Terjadwal
XI PPLG B,Rabu,8,13.00-13.45,SEJ,Terjadwal
XI PPLG B,Rabu,9,13.45-14.30,PABP,Terjadwal
XI PPLG B,Rabu,10,14.30-15.15,PABP,Terjadwal
XI PPLG B,Rabu,11,15.30-16.15,KOSONG,Kosong
XI PPLG B,Rabu,12,16.15-17.00,KOSONG,Kosong
XI PPLG B,Kamis,1,07.00-07.45,MAT,Terjadwal
XI PPLG B,Kamis,2,07.45-08.30,MAT,Terjadwal
XI PPLG B,Kamis,3,08.30-09.15,PJOK,Terjadwal
XI PPLG B,Kamis,4,09.15-10.00,PJOK,Terjadwal
XI PPLG B,Kamis,5,10.15-11.00,PP,Terjadwal
XI PPLG B,Kamis,6,11.00-11.45,PP,Terjadwal
XI PPLG B,Kamis,7,12.15-13.00,BING,Terjadwal
XI PPLG B,Kamis,8,13.00-13.45,BING,Terjadwal
XI PPLG B,Kamis,9,13.45-14.30,KOSONG,Kosong
XI PPLG B,Kamis,10,14.30-15.15,KOSONG,Kosong
